ep_len_mean,clipfrac,fps,time_elapsed,approxkl,policy_loss,total_timesteps,serial_timesteps,explained_variance,policy_entropy,true_reward,n_updates,ep_reward_mean,value_loss
50.9,0.028336,98195,22.46477174758911,0.00298201,-0.0027464987,875000,8750,0.8230914771556854,5.6225142,0.05960573,35,3.271476638542663,0.24208
51.92,0.009876,99527,23.09090495109558,0.0017414193,-0.0021833659,900000,9000,0.8084188401699066,5.6215644,0.059873965,36,3.3741820776431997,0.24683364
47.95,0.026988,92056,23.73049569129944,0.0031861465,-0.002957481,925000,9250,0.613373875617981,5.623956,0.056308355,37,2.627156234791619,0.49299374
53.14,0.016224,94813,24.38861584663391,0.0021556367,-0.0026623406,950000,9500,0.7068591713905334,5.6255302,0.05729769,38,3.2652737255708235,0.481534
45.92,0.014796001,104517,25.038410425186157,0.0021432394,-0.0034979247,975000,9750,0.6572238206863403,5.6276402,0.058280233,39,2.8524624381769534,0.51941866
49.44,0.035944004,99621,25.668742656707764,0.003488884,-0.0028705627,1000000,10000,0.8574391901493073,5.6274385,0.059943333,40,3.231881893983391,0.1660943
43.17,0.012356,100606,26.309824466705322,0.0019172415,-0.0021013462,1025000,10250,0.8345695436000824,5.6253653,0.059991606,41,2.9912252481846373,0.20129117
51.72,0.024012,102058,26.950391054153442,0.002791165,-0.0024600353,1050000,10500,0.6779160797595978,5.624233,0.05778349,42,3.645407801941328,0.48927516
61.46,0.00748,100292,27.582286596298218,0.0012566375,-0.0017012313,1075000,10750,0.6725896894931793,5.6250105,0.056395777,43,3.9627395189908565,0.5126774
51.49,0.025328,95235,28.218748569488525,0.0026731223,-0.0026623711,1100000,11000,0.7019651532173157,5.6276903,0.05586235,44,2.9912108011051894,0.48405433
48.13,0.021772,104200,28.868762254714966,0.0024981487,-0.0022552279,1125000,11250,0.7271171808242798,5.6322794,0.0533323,45,3.246095615258964,0.47826403
58.77,0.021212,103484,29.492939710617065,0.002445259,-0.0026857872,1150000,11500,0.7673386782407761,5.636406,0.052130744,46,3.2756432313018014,0.40457383
63.15,0.014048001,101374,30.13032341003418,0.0019747987,-0.002241433,1175000,11750,0.6728999018669128,5.639443,0.052851718,47,3.489865164354851,0.5805341
63.38,0.012748,104986,30.77230453491211,0.0018617524,-0.0025286637,1200000,12000,0.6811882257461548,5.6428905,0.05303038,48,3.849595357734943,0.51701224
65.52,0.02678,96736,31.4093177318573,0.0028324595,-0.0015451845,1225000,12250,0.7049010097980499,5.6440325,0.053328194,49,4.140722431887698,0.52677244
57.01,0.01108,95482,32.049012899398804,0.001561071,-0.002111296,1250000,12500,0.6767378747463226,5.6464148,0.05443472,50,4.050673705881527,0.5546007
79.72,0.024656001,93053,32.70706510543823,0.0026096408,-0.0025563762,1275000,12750,0.6861068308353424,5.6499925,0.049866978,51,4.311207802959761,0.612966
91.84,0.02222,99280,33.35444259643555,0.0024581733,-0.0026700408,1300000,13000,0.7240501344203949,5.6539073,0.050397392,52,4.291211763962438,0.5125753
90.64,0.010151999,95891,33.985963582992554,0.0016060207,-0.0018362753,1325000,13250,0.615800678730011,5.6570873,0.045186654,53,4.77573447002238,0.86424315
101.05,0.008652,93799,34.62730360031128,0.0013310899,-0.0020844743,1350000,13500,0.7188919484615326,5.6590424,0.04937488,54,5.012276406374094,0.58532083
80.36,0.020512,95881,35.27342438697815,0.0023931316,-0.0024119501,1375000,13750,0.5560913980007172,5.661468,0.037531137,55,3.5137850955490753,1.2969913
90.57,0.008008,98726,35.942917823791504,0.0015306448,-0.0019406993,1400000,14000,0.5862126350402832,5.6631765,0.04223669,56,4.6595976822891085,1.0062469
103.66,0.01258,96440,36.58012771606445,0.0017237272,-0.0019067485,1425000,14250,0.6602610647678375,5.663166,0.042958125,57,4.389186889165885,0.81305486
90.57,0.014464,96336,37.22057485580444,0.0018220397,-0.003196663,1450000,14500,0.585502028465271,5.664901,0.033813413,58,4.400116151224665,1.9302413
101.4,0.007456,98011,37.85893726348877,0.0011104355,-0.0018594593,1475000,14750,0.572494387626648,5.6683283,0.03237027,59,3.4770203622597364,1.7132156
83.81,0.010592,99174,38.48664903640747,0.001568139,-0.0016432973,1500000,15000,0.6196994185447693,5.670442,0.036973834,60,3.8433383857909393,1.4059064
