explained_variance,policy_entropy,ep_reward_mean,value_loss,fps,total_timesteps,ep_len_mean,nupdates
-0.1486806869506836,5.675776481628418,1.6798411940634752,0.9543951153755188,64563,35000,52.12,1
0.23194539546966553,5.685546398162842,2.008486555564468,0.5164009928703308,90651,3500000,52.02,100
0.31839269399642944,5.7047576904296875,2.0400456977534667,0.6483176350593567,89564,7000000,52.09,200
0.09524703025817871,5.735182285308838,1.5659719141075947,3.5400283336639404,88816,10500000,55.16,300
0.6056349873542786,5.789549827575684,2.1556328395897073,0.34118014574050903,88648,14000000,51.96,400
0.7632511258125305,5.8756561279296875,2.586518338067981,0.20082363486289978,88157,17500000,56.99,500
0.8351970165967941,6.0105133056640625,2.570953949559498,0.1314384937286377,88359,21000000,51.3,600
