ep_len_mean,total_timesteps,fps,nupdates,policy_entropy,explained_variance,ep_reward_mean,value_loss
52.42,25000,46722,1,5.675777435302734,-0.9631272554397583,1.5818158759523384,3.0677902698516846
50.29,2500000,72439,100,5.675767421722412,-0.8223636150360107,1.5621811568387693,2.312861680984497
52.1,5000000,73455,200,5.675736427307129,-0.5734968185424805,1.7166484940348892,1.7471662759780884
53.18,7500000,73754,300,5.675601482391357,-0.28043103218078613,1.7225810221039866,1.066235899925232
52.54,10000000,74058,400,5.674973964691162,0.165691077709198,1.7970564943285898,0.590697169303894
51.74,12500000,74320,500,5.673343658447266,0.4222458004951477,1.8888784194815662,0.4384692311286926
55.13,15000000,73920,600,5.669419765472412,0.5899629592895508,2.2099159430160764,0.3467237949371338
