explained_variance,total_timesteps,ep_reward_mean,policy_entropy,nupdates,fps,value_loss,ep_len_mean
-1.044858694076538,30000,1.6888749895286856,5.675777912139893,1,52047,2.9509146213531494,50.86
-0.08710134029388428,3000000,1.8288220526195438,5.677255153656006,100,76171,0.7718287706375122,52.82
0.48795753717422485,6000000,2.1558933534471727,5.689266681671143,200,76316,0.3869413733482361,53.68
0.6685348749160767,9000000,2.2257625481089782,5.7122626304626465,300,77574,0.2158346027135849,52.64
0.7953406274318695,12000000,2.5730033606631104,5.748045921325684,400,78474,0.13984759151935577,53.89
0.8135259747505188,15000000,2.6226193143735146,5.806117534637451,500,78714,0.12907852232456207,53.22
0.8660819381475449,18000000,2.77122908523992,5.900877952575684,600,78821,0.09820730984210968,51.84
0.8810841217637062,21000000,2.9960712847194646,6.061868667602539,700,79037,0.09762360155582428,53.75
