policy_entropy,total_timesteps,ep_len_mean,value_loss,nupdates,ep_reward_mean,fps,explained_variance
5.675777435302734,50000,51.89,3.0700206756591797,1,1.6676464324449807,160267,-1.2751655578613281
5.677997589111328,5000000,53.03,0.8155379891395569,100,1.7939100968549064,223125,0.12924808263778687
5.693850517272949,10000000,54.94,0.29898834228515625,200,2.098616611984921,226033,0.6041118800640106
5.726254940032959,15000000,53.88,0.22627688944339752,300,2.339967599210663,225913,0.6985187232494354
5.780287265777588,20000000,53.85,0.13744506239891052,400,2.52001691811387,226336,0.8188960254192352
5.866710186004639,25000000,53.44,0.09836108237504959,500,2.8408235287222667,225076,0.8666642755270004
5.974395751953125,30000000,54.07,0.10161279141902924,600,2.9806588496234325,225155,0.8783366084098816
6.118213653564453,35000000,53.75,0.08743687719106674,700,2.923959119780047,225486,0.898658461868763
6.318318843841553,40000000,53.78,0.09321360290050507,800,3.091245151897474,225703,0.9036743566393852
6.652524948120117,45000000,55.31,0.09805738925933838,900,3.2185926649444445,225540,0.9023359939455986
7.188820838928223,50000000,58.81,0.11543567478656769,1000,3.374892913203839,225711,0.8983088731765747
7.588420391082764,55000000,127.93,4.233831882476807,1100,6.750031477403772,225896,0.28349268436431885
7.6139373779296875,60000000,329.82,3.7326323986053467,1200,19.59008286291195,226168,0.6084305644035339
7.621623516082764,65000000,765.62,2.277101993560791,1300,55.89730364855226,227142,0.6945106089115143
7.662109851837158,70000000,2266.11,1.150368571281433,1400,187.41229539012483,228000,0.7288060486316681
7.749020099639893,75000000,5045.37,0.5845191478729248,1500,434.3882546790408,228688,0.7065320611000061
7.892213821411133,80000000,7047.93,0.2662513554096222,1600,621.5818975063075,229192,0.5831794738769531
8.108549118041992,85000000,11931.54,0.24196632206439972,1700,1068.6942512216563,229746,0.703242301940918
8.406134605407715,90000000,13071.13,0.2660723328590393,1800,1182.5388693725297,230232,0.7186386287212372
8.713756561279297,95000000,16837.87,0.3456803262233734,1900,1535.8303121961342,230614,0.670076996088028
9.070172309875488,100000000,18011.22,0.401261568069458,2000,1636.8075083088736,230966,0.6541617214679718
9.299915313720703,105000000,11378.62,0.2378283143043518,2100,1037.8522548035105,231091,0.663305789232254
9.57375717163086,110000000,15759.69,0.13776730000972748,2200,1441.5245672511435,231428,0.678039014339447
9.936156272888184,115000000,10429.62,0.11299534887075424,2300,950.5138625657838,231840,0.3905032277107239
10.277314186096191,120000000,12429.51,0.20663371682167053,2400,1131.5129714608636,231931,0.7395342588424683
10.658592224121094,125000000,10710.32,0.17915670573711395,2500,972.4153212344297,231925,0.5827180445194244
11.010714530944824,130000000,6928.09,0.41667574644088745,2600,623.394019788159,232237,0.736194372177124
11.294397354125977,135000000,8426.77,0.24266724288463593,2700,759.7674336877495,232405,0.7983234226703644
11.609814643859863,140000000,9804.97,0.1098717600107193,2800,882.9152235375388,232471,0.6849262118339539
11.947835922241211,145000000,7073.7,0.26294440031051636,2900,634.3226235817748,232549,0.7437843978404999
12.275705337524414,150000000,5838.3,0.31429967284202576,3000,520.5333994289497,232609,0.780806764960289
12.575119018554688,155000000,4530.0,0.4669291377067566,3100,403.2259311863365,232825,0.7254128754138947
12.900415420532227,160000000,6079.17,0.23489773273468018,3200,541.1613330429345,232854,0.5720034241676331
13.200577735900879,165000000,5527.13,0.2774781286716461,3300,489.9571053389025,232961,0.7655456513166428
13.503308296203613,170000000,4837.06,0.42684829235076904,3400,426.1887308844641,232900,0.7585045397281647
13.811519622802734,175000000,3681.32,0.45715320110321045,3500,322.4109695729868,232947,0.7853644341230392
14.099247932434082,180000000,4155.14,0.4134829342365265,3600,365.2300631622997,232916,0.7521475553512573
14.382807731628418,185000000,4532.49,0.345995157957077,3700,397.5792701193955,233028,0.7667979001998901
14.657295227050781,190000000,3436.04,0.386527419090271,3800,299.2970915962521,233177,0.7351893782615662
14.927820205688477,195000000,3132.53,0.4279308617115021,3900,271.34566201600154,233350,0.814344197511673
15.198222160339355,200000000,3215.33,0.4315606951713562,4000,277.86277080405927,233538,0.7743664681911469
15.462869644165039,205000000,3006.7,0.38643360137939453,4100,259.56620825261683,233392,0.7202967405319214
15.75616455078125,210000000,3323.04,0.4639088213443756,4200,286.37363293650424,233547,0.8208967745304108
15.99480152130127,215000000,2482.0,0.40793049335479736,4300,212.03486011241716,233609,0.7298379242420197
