fps,serial_timesteps,ep_len_mean,explained_variance,total_timesteps,policy_loss,policy_entropy,ep_reward_mean,value_loss,true_reward,time_elapsed,approxkl,n_updates,clipfrac
66893,250,28.29,-4.46396017074585,25000,-0.0023125014,5.6780105,0.9709498415763074,2.4878147,0.0027840463,0.0018796920776367188,0.0035080276,1,0.034776002
100400,500,29.72,-3.0120372772216797,50000,-0.0012220021,5.684094,0.7296682545811928,2.169332,-0.00073462096,2.5347044467926025,0.002635853,2,0.023583997
