time_elapsed,ep_reward_mean,ep_len_mean,true_reward,explained_variance,clipfrac,serial_timesteps,value_loss,policy_entropy,approxkl,n_updates,total_timesteps,policy_loss,fps
22.539494037628174,3.199000442342367,45.99,0.060919974,0.9173551350831985,0.047636,8750,0.08064742,5.601974,0.004305909,35,875000,-0.004071757,101526
23.143356323242188,2.9648835705104286,39.77,0.060828563,0.9085161313414574,0.045680005,9000,0.090679996,5.6032295,0.004059408,36,900000,-0.0040168455,99120
23.757967233657837,2.691484608334376,37.77,0.059155356,0.8638592660427094,0.028608,9250,0.12254779,5.600888,0.0032110326,37,925000,-0.0034760877,102109
24.37321949005127,2.6426429708502837,43.14,0.05952147,0.8237141668796539,0.03222,9500,0.16610612,5.601376,0.0034705107,38,950000,-0.0036863654,102430
24.98864197731018,2.3967239411948684,40.98,0.05507695,0.511498212814331,0.015364001,9750,0.72412443,5.6045847,0.0023036147,39,975000,-0.0043656616,109373
25.592228412628174,3.1020898818213025,41.37,0.061588854,0.908625103533268,0.042264003,10000,0.100481406,5.608342,0.0040967464,40,1000000,-0.0033957511,104949
26.197505474090576,3.72092058551048,50.73,0.062094044,0.9325762391090393,0.028956002,10250,0.08784546,5.6097465,0.0031730768,41,1025000,-0.0031599149,101241
26.798919916152954,3.9211035974867263,57.04,0.06136376,0.8806605786085129,0.042772003,10500,0.1814045,5.611432,0.0037820854,42,1050000,-0.0033449032,103501
27.398707151412964,3.213099118397222,54.71,0.059275948,0.7952820956707001,0.011728,10750,0.29224324,5.6138372,0.0018086524,43,1075000,-0.0030048774,103568
27.99585723876953,3.4974386364594103,48.85,0.060759466,0.738499253988266,0.028072,11000,0.37206182,5.615047,0.003176514,44,1100000,-0.0024166172,105668
28.59982132911682,3.281907526442028,57.78,0.057650898,0.6954954862594604,0.016808,11250,0.49405426,5.615605,0.0023899495,45,1125000,-0.0026336466,104407
29.202779293060303,3.033284647383189,54.19,0.05618066,0.7121806740760803,0.017631998,11500,0.5408748,5.617955,0.0022032496,46,1150000,-0.0027141306,101758
29.81206226348877,2.979323241818565,63.64,0.056029115,0.7838577628135681,0.015656,11750,0.5544859,5.624935,0.0022454492,47,1175000,-0.0030644876,108918
30.40010166168213,2.1860030752400053,53.99,0.054818984,0.7333442866802216,0.014748,12000,0.71505696,5.6297245,0.0021224134,48,1200000,-0.0023924238,110343
30.98903799057007,3.7909745172065596,67.75,0.057578847,0.8085452765226364,0.026679998,12250,0.37676355,5.6308637,0.0028688964,49,1225000,-0.0029853773,107710
31.573157787322998,3.7291754366584065,55.73,0.05916814,0.8518048077821732,0.039316002,12500,0.25066772,5.631851,0.0036482275,50,1250000,-0.0036811042,107702
32.159785985946655,3.4945919058881554,50.38,0.05966438,0.8317728340625763,0.019008,12750,0.32013237,5.6341963,0.0022950633,51,1275000,-0.0026017935,107729
32.74429893493652,3.738624684480983,71.98,0.056339987,0.7983485013246536,0.026756,13000,0.39639455,5.6382113,0.002757601,52,1300000,-0.0028112128,107489
33.3368661403656,3.8310379952700306,53.65,0.060762197,0.9056015014648438,0.015419999,13250,0.18561785,5.6387005,0.0020692213,53,1325000,-0.002423042,105934
33.93022799491882,4.148660350970113,55.78,0.060270295,0.8660521954298019,0.024924,13500,0.22577772,5.638511,0.0025086256,54,1350000,-0.0027598846,107191
34.533822774887085,3.2441595290736767,55.69,0.057268932,0.8537834286689758,0.034304,13750,0.27286783,5.6377335,0.0034868512,55,1375000,-0.0029108482,106870
35.12913632392883,3.6915232852633926,58.93,0.05723602,0.8828198984265327,0.023068,14000,0.24616978,5.638557,0.0027865593,56,1400000,-0.0024310285,106025
35.72609567642212,4.243466511438673,77.21,0.05564564,0.8586097359657288,0.040732,14250,0.29396257,5.640766,0.00381345,57,1425000,-0.0031477131,105550
36.316367626190186,4.879784192090243,96.26,0.051360615,0.7357466220855713,0.012016,14500,0.61049527,5.642255,0.0017521519,58,1450000,-0.0021474794,109752
36.964500427246094,5.758929737597282,92.57,0.05576206,0.7827323824167252,0.019828001,14750,0.49745408,5.642579,0.0024573002,59,1475000,-0.0014823464,147170
37.449054479599,6.259918117688358,107.43,0.054152526,0.7870869934558868,0.022439998,15000,0.46338552,5.6403303,0.002503158,60,1500000,-0.0025581564,109822
38.02753925323486,5.233077134426712,116.59,0.046611603,0.587595522403717,0.011028,15250,0.972428,5.6407003,0.0017089866,61,1525000,-0.0012448968,106156
38.62007784843445,4.705972120882288,109.43,0.047135945,0.7530909329652786,0.015624,15500,0.64760274,5.6417766,0.001835332,62,1550000,-0.0018864911,101574
39.216283082962036,5.831202473410121,131.28,0.04408113,0.6797510087490082,0.009368001,15750,0.8692749,5.642931,0.0016125448,63,1575000,-0.0013390686,109866
39.787359952926636,5.5533480298793805,131.81,0.040336896,0.6111482083797455,0.009008,16000,1.0121806,5.642795,0.0014697112,64,1600000,-0.0013416371,108496
40.36074900627136,7.891249217906038,147.34,0.046578895,0.6034098565578461,0.015036,16250,0.8683179,5.643321,0.0020078185,65,1625000,-0.0019523625,106826
40.947683572769165,6.232605752670388,137.67,0.038861483,0.5066162943840027,0.020151999,16500,1.3134705,5.6442184,0.0021933888,66,1650000,-0.0015770292,107975
