value_loss,fps,ep_reward_mean,explained_variance,ep_len_mean,policy_entropy,total_timesteps,nupdates
3.206408739089966,48839,1.670671347569678,-1.1361570358276367,52.21,5.675777435302734,25000,1
2.446896553039551,73629,1.6878995391083071,-0.9063094854354858,54.12,5.6757707595825195,2500000,100
1.6416618824005127,74332,1.6871269392548274,-0.5548884868621826,53.14,5.67573881149292,5000000,200
1.0748223066329956,74904,1.675876597526385,-0.16789710521697998,55.91,5.675609588623047,7500000,300
0.6356707215309143,75193,1.734092903143537,0.16148287057876587,52.38,5.67510986328125,10000000,400
0.4038739800453186,75525,2.0221630722718875,0.4475434422492981,53.42,5.67364501953125,12500000,500
0.34461092948913574,75724,2.1363146076504336,0.5652281641960144,52.83,5.669437408447266,15000000,600
0.17143136262893677,75807,2.397752858259728,0.7477535009384155,53.47,5.661440849304199,17500000,700
0.14311139285564423,75907,2.4896661255293293,0.7912670969963074,53.56,5.649371147155762,20000000,800
0.10554597526788712,76008,2.6623224920390713,0.8446343839168549,52.28,5.630544185638428,22500000,900
0.09714630991220474,76116,2.85922421318508,0.8747602850198746,53.8,5.600639820098877,25000000,1000
0.08113732188940048,76244,2.989017150929885,0.8990174010396004,54.43,5.569878578186035,27500000,1100
0.08256390690803528,76276,3.0298911973504437,0.9060233160853386,52.7,5.530533790588379,30000000,1200
0.07488340884447098,76165,3.3935802975359,0.9194999784231186,56.12,5.499256134033203,32500000,1300
0.1309424489736557,76075,3.6213692932236334,0.8926041424274445,61.56,5.461378574371338,35000000,1400
4.731017589569092,76126,4.065804228373163,0.38273459672927856,87.84,5.411608695983887,37500000,1500
5.457640171051025,76389,7.1416985980546634,0.1864771842956543,125.94,5.388445854187012,40000000,1600
7.522188186645508,76656,7.649927020506075,0.19379055500030518,166.77,5.361384391784668,42500000,1700
3.9958674907684326,76899,8.778733621877574,0.4515114426612854,157.73,5.33966064453125,45000000,1800
3.02888560295105,77156,11.299917221182072,0.5326359570026398,210.07,5.315489768981934,47500000,1900
2.4278900623321533,77385,19.368162926212452,0.655705064535141,307.09,5.278306484222412,50000000,2000
1.5762615203857422,77629,83.71046928170377,0.6377972364425659,1137.96,5.229722023010254,52500000,2100
0.751822829246521,77867,216.97237933685355,0.6348337829113007,2646.97,5.188523292541504,55000000,2200
0.2349746823310852,78116,543.5017472897578,0.6972489356994629,6282.43,5.151843547821045,57500000,2300
0.32658645510673523,78347,877.5404540516824,0.5754935145378113,9882.67,5.121566295623779,60000000,2400
0.04936853423714638,78570,1380.8072979284825,0.18824052810668945,15295.87,5.096679210662842,62500000,2500
0.38675516843795776,78768,1499.4387169484935,0.7360208928585052,16394.73,5.071836948394775,65000000,2600
0.1321796029806137,78929,2108.2728873118504,0.6046205163002014,22852.16,5.056344985961914,67500000,2700
0.13141889870166779,79052,2830.955246600037,0.7061901688575745,30526.98,5.038070201873779,70000000,2800
0.16222988069057465,79163,2557.465868629122,0.592702329158783,27371.8,5.023252964019775,72500000,2900
0.23272040486335754,79255,2758.3220999715886,0.6458076536655426,29416.06,5.006166934967041,75000000,3000
0.02477722242474556,79347,4034.9092575633817,0.21961331367492676,42948.85,4.992918968200684,77500000,3100
0.14324717223644257,79487,4267.053707186992,0.6763328611850739,45307.61,4.976077556610107,80000000,3200
0.012534663081169128,79588,3615.924013820571,-0.08562850952148438,38240.46,4.960641860961914,82500000,3300
0.03180840611457825,79717,3764.7732067139177,0.18770360946655273,39725.28,4.947805404663086,85000000,3400
0.014643227681517601,79818,4213.355711127237,-0.07492184638977051,44406.07,4.936526775360107,87500000,3500
0.10746851563453674,79942,4190.826924567599,0.6670904159545898,44083.13,4.925541400909424,90000000,3600
0.06408288329839706,80044,4794.559231982649,0.7704393565654755,50308.93,4.91497802734375,92500000,3700
0.13177666068077087,80166,5207.3082816461665,0.7524040788412094,54562.92,4.903614044189453,95000000,3800
0.009898006916046143,80286,5728.79839208515,-0.22286653518676758,59960.92,4.894044399261475,97500000,3900
0.19996441900730133,80372,6468.517068283824,0.5773372650146484,67647.89,4.884273052215576,100000000,4000
0.0077593675814569,80439,5963.927770139382,0.022115767002105713,62257.24,4.873353004455566,102500000,4100
0.022234247997403145,80513,6478.765464675277,0.22467291355133057,67589.13,4.863476276397705,105000000,4200
0.007509438320994377,80561,6604.03478154546,0.9240210503339767,68808.02,4.854069232940674,107500000,4300
0.008507046848535538,80607,6363.6117871152455,-0.11721384525299072,66220.23,4.844676971435547,110000000,4400
0.05983942374587059,80628,7279.087510776869,-0.16957390308380127,75647.79,4.835270881652832,112500000,4500
0.005513474810868502,80631,8036.852379714139,-0.047388434410095215,83488.45,4.825686931610107,115000000,4600
0.010591579601168633,80670,8086.664198235392,-0.550645112991333,83947.46,4.817626476287842,117500000,4700
0.009215235710144043,80724,8758.324646740914,-0.2848714590072632,90864.0,4.807862281799316,120000000,4800
0.01230253279209137,80753,8631.585287536229,-1.253056287765503,89431.24,4.798600196838379,122500000,4900
0.007033924106508493,80828,7994.793768720029,-0.012275338172912598,82782.75,4.790229797363281,125000000,5000
0.006005041301250458,80892,7878.581429394319,-0.08568477630615234,81522.4,4.783149719238281,127500000,5100
0.01724148914217949,80951,7559.640488800438,0.600864976644516,78142.24,4.775374889373779,130000000,5200
0.010581494309008121,81017,6065.303347826998,-0.6613560914993286,62620.41,4.767153739929199,132500000,5300
0.008550410158932209,81050,6691.238673944266,-0.027906298637390137,69092.57,4.7612433433532715,135000000,5400
0.007132714614272118,81098,7874.112011586022,-0.33044350147247314,81255.1,4.7544074058532715,137500000,5500
