clipfrac,explained_variance,policy_entropy,serial_timesteps,n_updates,true_reward,approxkl,total_timesteps,time_elapsed,fps,value_loss,ep_reward_mean,ep_len_mean,policy_loss
0.017928,0.6900721490383148,5.6406302,8750,35,0.055744134,0.0024511195,875000,31.555567264556885,56667,0.3967511,2.1297863464312106,45.29,-0.0039992956
0.032071996,0.8494310677051544,5.6457663,9000,36,0.059073266,0.0035534273,900000,32.43189811706543,54550,0.22230482,3.4017564541901812,47.66,-0.0038860221
0.024311999,0.7414640188217163,5.6529484,9250,37,0.056631625,0.0029715202,925000,33.36529898643494,63319,0.35755822,2.96735082011568,46.44,-0.002003958
0.025204,0.7424522042274475,5.6586957,9500,38,0.05667022,0.0028212178,950000,34.24755597114563,64134,0.4022998,3.0995478187998526,53.85,-0.0029355157
0.022408,0.8503530025482178,5.665644,9750,39,0.0556714,0.002708497,975000,35.178781509399414,77883,0.27661496,3.45407184770811,54.44,-0.0023977214
0.030956,0.8615601807832718,5.6693053,10000,40,0.058001276,0.0032139993,1000000,36.03660035133362,75309,0.2342343,4.2330268428914675,69.25,-0.0032721267
0.011188,0.44561415910720825,5.6689615,10250,41,0.04131549,0.0016304929,1025000,36.96297073364258,69058,1.5124851,1.9702733016403362,66.23,-0.0027299102
0.012739999,0.5038181841373444,5.671253,10500,42,0.04028808,0.0018309897,1050000,38.02250599861145,78323,1.2520696,1.6545872905894066,62.09,-0.0023305102
0.012496,0.5243108570575714,5.67529,10750,43,0.04329233,0.0017914206,1075000,38.96814036369324,88655,1.1169423,2.280738688684173,61.59,-0.0032147304
0.009856,0.3719504475593567,5.6800785,11000,44,0.039507452,0.0016515326,1100000,39.89888834953308,102611,1.5449288,1.7315454231020886,65.61,-0.0025095646
0.010148001,0.4321199059486389,5.6843863,11250,45,0.036371782,0.0015213671,1125000,40.77894997596741,101824,1.8124918,1.579081085090693,65.66,-0.0029882896
0.013451999,0.2545018196105957,5.6876364,11500,46,0.024983156,0.0017657022,1150000,41.68623757362366,98415,2.991139,0.10323278669315186,63.19,-0.0024513279
0.008244,0.3085107207298279,5.692187,11750,47,0.0378477,0.0013890822,1175000,42.61778783798218,76892,1.674929,0.8453831197644468,60.36,-0.0029657185
0.00942,0.4135616421699524,5.697384,12000,48,0.016348062,0.001459429,1200000,43.60992240905762,102893,3.0836031,0.36611405650024154,67.57,-0.0016440103
0.01046,0.5800213515758514,5.702073,12250,49,0.034423176,0.0015002774,1225000,44.47284412384033,79592,1.4859321,1.7894759202607566,57.55,-0.0023348161
0.006036,0.46360355615615845,5.7065763,12500,50,0.031083269,0.0010877167,1250000,45.34563732147217,73527,1.7568524,1.306198917470224,61.51,-0.0014791642
0.01146,0.523643434047699,5.7089725,12750,51,0.022029525,0.0014790819,1275000,46.22158074378967,68562,2.5545344,-1.2815531661757995,73.25,-0.0024239146
0.015908,0.5324833691120148,5.7107854,13000,52,0.033802256,0.00202378,1300000,47.07845139503479,70275,1.553744,1.5291163842297828,69.08,-0.00220262
0.0070320005,0.5478553771972656,5.7141595,13250,53,0.03132496,0.0012809925,1325000,47.93043088912964,69159,1.9221761,2.1796449587021334,68.33,-0.002066248
0.014628001,0.7580089271068573,5.7195034,13500,54,0.04051007,0.002050391,1350000,48.78770589828491,64504,1.0757805,3.044350583953088,79.89,-0.0029545927
