explained_variance,value_loss,fps,policy_entropy,nupdates,ep_len_mean,total_timesteps,ep_reward_mean
-0.8734767436981201,2.8929147720336914,46565,5.675777435302734,1,51.58,25000,1.7142556322156088
-0.770315408706665,2.6880180835723877,74077,5.6757707595825195,100,56.3,2500000,1.6662845697834563
-0.5651448965072632,1.5959876775741577,75061,5.675766944885254,200,54.29,5000000,1.7261631393086645
-0.20454001426696777,1.0263140201568604,75081,5.67572546005249,300,52.42,7500000,1.6976114805701217
0.1720690131187439,0.6188840866088867,75120,5.675247669219971,400,51.87,10000000,1.888139021989482
0.4228658080101013,0.4211069643497467,74918,5.6735124588012695,500,52.47,12500000,1.8812630673681996
0.6094017028808594,0.2787477970123291,74561,5.66939115524292,600,53.07,15000000,2.2614050211170977
0.7494951784610748,0.16139943897724152,74070,5.66254186630249,700,51.44,17500000,2.283172034602103
