serial_timesteps,policy_loss,policy_entropy,approxkl,ep_reward_mean,clipfrac,n_updates,value_loss,explained_variance,time_elapsed,total_timesteps,true_reward,ep_len_mean,fps
8750,-0.003444237,5.6110663,0.004053536,2.591825509179907,0.044207998,35,0.049715955,0.9380368702113628,23.24906611442566,875000,0.062420897,35.67,103916
9000,-0.0028155607,5.6069083,0.0029893217,3.0139668362058,0.029943999,36,0.15017638,0.8517911583185196,23.879465579986572,900000,0.061630264,40.78,103334
9250,-0.0041762567,5.605906,0.0050443364,3.345277156258744,0.061447997,37,0.059075695,0.9347774982452393,24.5142560005188,925000,0.062085148,45.72,99522
9500,-0.0034048303,5.606417,0.003966264,3.066815086889983,0.044932,38,0.055683337,0.9481394030153751,25.143979787826538,950000,0.0626158,43.32,103729
9750,-0.0037271262,5.6083846,0.004615429,3.7441437442730967,0.052616,39,0.06785889,0.9413549192249775,25.768547296524048,975000,0.0633048,50.0,102274
10000,-0.0028441,5.6083817,0.0031736891,2.9990668841488697,0.032812,40,0.117576525,0.9069392159581184,26.378979682922363,1000000,0.0617136,44.27,106805
10250,-0.0037344273,5.6090593,0.0043966495,3.1064692501781246,0.051256,41,0.14164287,0.8735691010951996,26.985553741455078,1025000,0.06077401,50.86,102572
10500,-0.0042026243,5.6089706,0.0051273974,3.281180591319221,0.061384,42,0.07087827,0.934856191277504,27.60683798789978,1050000,0.062403306,46.19,107188
10750,-0.0043861656,5.6115193,0.0037565865,3.427916906758037,0.035772,43,0.1799263,0.8898427039384842,28.20763659477234,1075000,0.05922923,49.33,106714
11000,-0.0023394069,5.6150236,0.0026432264,3.311730412095876,0.025151998,44,0.30664188,0.7691690325737,28.827373027801514,1100000,0.059098296,49.3,104481
11250,-0.0024283137,5.6146955,0.002599524,3.1441480026899806,0.025508001,45,0.3253939,0.8090840429067612,29.43920874595642,1125000,0.05761631,62.8,108000
11500,-0.0035866145,5.617452,0.0038170926,3.3589166592439867,0.04264,46,0.28890732,0.8043935149908066,30.074769258499146,1150000,0.059717987,52.28,101555
11750,-0.0016666536,5.620778,0.0020646998,4.295632802041528,0.016872,47,0.3292243,0.7965252250432968,30.816599369049072,1175000,0.057413172,69.63,106034
12000,-0.0029019236,5.622667,0.0031863633,4.018155941719742,0.030528003,48,0.20724306,0.8536112308502197,31.422694444656372,1200000,0.058940522,63.62,107974
12250,-0.003980325,5.620455,0.0038381077,3.985956012829556,0.037532,49,0.2565893,0.8390729576349258,32.02270698547363,1225000,0.059653204,66.68,105513
12500,-0.0028104377,5.6224694,0.002780735,5.012052937965433,0.02814,50,0.27923447,0.8349546641111374,32.63307976722717,1250000,0.057370882,86.34,105810
12750,-0.0028637093,5.6241064,0.002908993,4.258037755833989,0.026892,51,0.47886926,0.7368668019771576,33.24972748756409,1275000,0.054418,86.91,107985
13000,-0.0029988422,5.623613,0.0036007795,6.671948625965979,0.035032,52,0.3244706,0.8254712224006653,33.838966846466064,1300000,0.059114374,105.68,110522
