value_loss,nupdates,fps,explained_variance,total_timesteps,policy_entropy,ep_reward_mean,ep_len_mean
2.9380180835723877,1,48720,-1.0554389953613281,25000,5.675777435302734,1.7779913389365902,52.71
2.554265022277832,100,71358,-0.913384199142456,2500000,5.6757707595825195,1.692759141298484,53.1
1.5344409942626953,200,71453,-0.6104975938796997,5000000,5.675769329071045,1.5488301868138807,51.97
0.8625790476799011,300,71408,-0.22309064865112305,7500000,5.675600528717041,1.7394980419915829,52.41
0.7175094485282898,400,72908,0.1780375838279724,10000000,5.6750712394714355,1.816282999913601,52.38
0.40460047125816345,500,72784,0.44529402256011963,12500000,5.6738810539245605,1.930556687101216,52.32
0.42089584469795227,600,71470,0.4940232038497925,15000000,5.669964790344238,2.3068173174989535,55.09
0.2035875767469406,700,71438,0.7293085157871246,17500000,5.663308620452881,2.41247864108811,54.42
0.15206876397132874,800,71188,0.7927014529705048,20000000,5.6515913009643555,2.577995681666216,52.92
0.12039455026388168,900,71210,0.8362103402614594,22500000,5.6338324546813965,2.6642444713762417,52.45
0.08682239055633545,1000,70935,0.8888528645038605,25000000,5.606273651123047,2.962255740698929,53.9
0.08388601243495941,1100,71089,0.8960526213049889,27500000,5.575465679168701,3.026307149369477,54.04
0.06942249834537506,1200,71246,0.9154727458953857,30000000,5.538387298583984,3.0878653938209752,53.36
0.07772944122552872,1300,71748,0.9157867655158043,32500000,5.513241767883301,3.202615227773713,54.1
0.10285353660583496,1400,71899,0.9059196636080742,35000000,5.478026866912842,3.487993332760925,59.59
