value_loss,explained_variance,nupdates,fps,ep_reward_mean,ep_len_mean,total_timesteps,policy_entropy
3.0465762615203857,-1.093979835510254,1,46896,1.7045319466486035,53.68,25000,5.675777435302734
0.5925908088684082,0.17350512742996216,100,69537,1.9429499774724537,51.67,2500000,5.677734851837158
0.2920234799385071,0.5859716534614563,200,69851,2.0657275575827954,52.76,5000000,5.6934051513671875
0.21025484800338745,0.7172737121582031,300,69349,2.431618668803203,54.56,7500000,5.725111961364746
0.13401058316230774,0.81604865193367,400,69197,2.627897717875112,53.9,10000000,5.777831077575684
0.08522076159715652,0.8758823573589325,500,68989,2.608552994891029,52.4,12500000,5.861598968505859
0.08682531118392944,0.8896120935678482,600,68561,2.8489524353707885,53.74,15000000,5.9756388664245605
0.09141725301742554,0.901001363992691,700,68410,2.9769301493332203,52.59,17500000,6.123733043670654
0.10358933359384537,0.9121165573596954,800,68639,3.068261536702721,53.19,20000000,6.338179588317871
0.12413610517978668,0.9085371419787407,900,68679,3.2693903291052266,55.29,22500000,6.664072513580322
0.18897558748722076,0.8877702578902245,1000,68991,3.6249498531869904,61.5,25000000,7.172715187072754
9.374733924865723,0.3817676901817322,1100,69127,5.18164289813521,114.26,27500000,7.508748531341553
2.7158687114715576,0.6739477515220642,1200,69437,16.165895987386264,259.5,30000000,7.573689937591553
1.6791213750839233,0.762722834944725,1300,69682,61.609444751998616,852.83,32500000,7.567741870880127
0.6845061182975769,0.7776750028133392,1400,70164,175.9769770137196,2178.54,35000000,7.620157718658447
0.6626502275466919,0.6771548986434937,1500,70542,427.5107484330923,5006.13,37500000,7.719568729400635
0.16047076880931854,0.1737985610961914,1600,71112,875.0662960103165,10030.25,40000000,7.9052348136901855
0.3144305348396301,0.5476004183292389,1700,71432,1027.5552070624262,11512.07,42500000,8.202179908752441
0.425126314163208,0.6076247990131378,1800,71915,1321.0018672279468,14623.15,45000000,8.566773414611816
0.1630934476852417,0.5925617814064026,1900,72143,1256.4372098717236,13850.0,47500000,8.862306594848633
